Area;Year;Population;Violent-crime-number;Violent-crime-number-rate;Murder-and-nonnegligent-manslaughter;Murder-and-nonnegligent-manslaughter-rate;Rape;Rape-rate;Robbery;Robbery-rate;Aggravated-assault;Aggravated-assault-rate;Property-crime;Property-crime-rate;Burglary;Burglary-rate;Larceny-theft;Larceny-theft-rate;Motor-vehicle-theft;Motor-vehicle-theft-rate;
Kansas;2015;2911641;11353;389,9;128;4,4;1251;43,0;1818;62,4;7792;267,6;79199;2720,1;15362;527,6;56880;1953,5;6957;238,9;
Minnesota;2009;5266214;12874;244,5;74;1,4;1789;34,0;3619;68,7;7392;140,4;139286;2644,9;25580;485,7;105160;1996,9;8546;162,3;
Minnesota;2010;5303925;12515;236,0;96;1,8;1798;33,9;3388;63,9;7233;136,4;136431;2572,3;24415;460,3;103429;1950,0;8587;161,9;
Minnesota;2011;5347299;12323;230,5;75;1,4;2113;39,5;3385;63,3;6750;126,2;136183;2546,8;25681;480,3;102354;1914,1;8148;152,4;
Minnesota;2012;5379139;12419;230,9;99;1,8;1638;30,5;3475;64,6;7207;134,0;138152;2568,3;25378;471,8;104316;1939,3;8458;157,2;
Minnesota;2013;5422060;12710;234,4;114;2,1;1453;26,8;3674;67,8;6908;127,4;131193;2419,6;22713;418,9;100514;1853,8;7966;146,9;
Minnesota;2014;5457173;12505;229,1;88;1,6;1452;26,6;3687;67,6;6729;123,3;125377;2297,5;20773;380,7;96237;1763,5;8367;153,3;
Minnesota;2015;5489594;13319;242,6;133;2,4;1686;30,7;3771;68,7;7094;129,2;121984;2222,1;19299;351,6;94704;1725,2;7981;145,4;
Missouri;2009;5987580;29513;492,9;387;6,5;1606;26,8;7437;124,2;20083;335,4;201783;3370,0;43591;728,0;140764;2350,9;17428;291,1;
Missouri;2010;5988927;27252;455,0;420;7,0;1432;23,9;6132;102,4;19268;321,7;200414;3346,4;44043;735,4;140320;2343,0;16051;268,0;
Missouri;2011;6008984;26888;447,5;366;6,1;1469;24,4;6275;104,4;18778;312,5;199085;3313,1;44875;746,8;138879;2311,2;15331;255,1;
Missouri;2012;6021988;27155;450,9;389;6,5;1511;25,1;5782;96,0;19473;323,4;199590;3314,4;42466;705,2;140816;2338,4;16308;270,8;
Missouri;2013;6044917;26216;433,7;369;6,1;1679;27,8;5486;90,8;18056;298,7;189655;3137,4;38797;641,8;134514;2225,2;16344;270,4;
Missouri;2014;6063589;26856;442,9;403;6,6;1706;28,1;5592;92,2;18482;304,8;176237;2906,5;35258;581,5;124622;2055,3;16357;269,8;
Missouri;2015;6083672;30261;497,4;502;8,3;1854;30,5;6376;104,8;20830;342,4;173642;2854,2;34006;559,0;122637;2015,8;16999;279,4;
